2021-12-29 09:54:38 [scrapy.utils.log] INFO: Scrapy 2.5.1 started (bot: overseaSpider)
2021-12-29 09:54:38 [scrapy.utils.log] INFO: Versions: lxml 4.7.1.0, libxml2 2.9.12, cssselect 1.1.0, parsel 1.6.0, w3lib 1.22.0, Twisted 21.7.0, Python 3.7.8 (tags/v3.7.8:4b47a5b6ba, Jun 28 2020, 08:53:46) [MSC v.1916 64 bit (AMD64)], pyOpenSSL 21.0.0 (OpenSSL 1.1.1m  14 Dec 2021), cryptography 36.0.1, Platform Windows-10-10.0.17763-SP0
2021-12-29 09:54:38 [scrapy.crawler] INFO: Overridden settings:
{'ASYNCIO_EVENT_LOOP': 'asyncio.SelectorEventLoop',
 'BOT_NAME': 'overseaSpider',
 'CLOSESPIDER_ITEMCOUNT': 5,
 'COMMANDS_MODULE': 'overseaSpider.commands',
 'CONCURRENT_REQUESTS': 4,
 'DOWNLOAD_DELAY': 1,
 'DOWNLOAD_TIMEOUT': 10,
 'HTTPCACHE_EXPIRATION_SECS': 604800,
 'HTTPCACHE_IGNORE_HTTP_CODES': [403, 301, 401, 500, 503],
 'HTTPCACHE_POLICY': 'overseaSpider.middlewares.DummyPolicy',
 'LOG_FILE': 'swissgear_1640742878119.log',
 'NEWSPIDER_MODULE': 'overseaSpider.spiders',
 'RETRY_ENABLED': False,
 'RETRY_TIMES': 1,
 'SPIDER_MODULES': ['overseaSpider.spiders'],
 'TEMPLATES_DIR': 'D:\\work\\overseaspider\\overseaSpider\\templates'}
2021-12-29 09:54:38 [scrapy.extensions.telnet] INFO: Telnet Password: 4b9398a5c5471ecb
2021-12-29 09:54:38 [scrapy.middleware] INFO: Enabled extensions:
['scrapy.extensions.corestats.CoreStats',
 'scrapy.extensions.telnet.TelnetConsole',
 'scrapy.extensions.closespider.CloseSpider',
 'scrapy.extensions.logstats.LogStats']
2021-12-29 09:54:38 [scrapy.middleware] INFO: Enabled downloader middlewares:
['overseaSpider.middlewares.OverseaspiderUserAgentMiddleware',
 'scrapy.downloadermiddlewares.httpauth.HttpAuthMiddleware',
 'scrapy.downloadermiddlewares.downloadtimeout.DownloadTimeoutMiddleware',
 'scrapy.downloadermiddlewares.defaultheaders.DefaultHeadersMiddleware',
 'scrapy.downloadermiddlewares.useragent.UserAgentMiddleware',
 'scrapy.downloadermiddlewares.redirect.MetaRefreshMiddleware',
 'scrapy.downloadermiddlewares.httpcompression.HttpCompressionMiddleware',
 'scrapy.downloadermiddlewares.redirect.RedirectMiddleware',
 'scrapy.downloadermiddlewares.cookies.CookiesMiddleware',
 'scrapy.downloadermiddlewares.httpproxy.HttpProxyMiddleware',
 'scrapy.downloadermiddlewares.stats.DownloaderStats']
2021-12-29 09:54:38 [scrapy.middleware] INFO: Enabled spider middlewares:
['scrapy.spidermiddlewares.httperror.HttpErrorMiddleware',
 'scrapy.spidermiddlewares.offsite.OffsiteMiddleware',
 'scrapy.spidermiddlewares.referer.RefererMiddleware',
 'scrapy.spidermiddlewares.urllength.UrlLengthMiddleware',
 'scrapy.spidermiddlewares.depth.DepthMiddleware']
2021-12-29 09:54:38 [scrapy.middleware] INFO: Enabled item pipelines:
['overseaSpider.pipelines.OverseaspiderPipeline']
2021-12-29 09:54:38 [scrapy.core.engine] INFO: Spider opened
2021-12-29 09:54:38 [scrapy.extensions.logstats] INFO: Crawled 0 pages (at 0 pages/min), scraped 0 items (at 0 items/min)
2021-12-29 09:54:38 [scrapy.extensions.telnet] INFO: Telnet console listening on 127.0.0.1:6023
2021-12-29 09:54:39 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.swissgear.com/> (referer: None)
2021-12-29 09:54:40 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.swissgear.com/sale> (referer: https://www.swissgear.com/)
2021-12-29 09:54:41 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.swissgear.com/accessories> (referer: https://www.swissgear.com/)
2021-12-29 09:54:43 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.swissgear.com/luggage> (referer: https://www.swissgear.com/)
2021-12-29 09:54:44 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.swissgear.com/bags-cases> (referer: https://www.swissgear.com/)
2021-12-29 09:54:45 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.swissgear.com/sale?p=2> (referer: https://www.swissgear.com/sale)
2021-12-29 09:54:46 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.swissgear.com/accessories?p=2> (referer: https://www.swissgear.com/accessories)
2021-12-29 09:54:48 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.swissgear.com/backpacks> (referer: https://www.swissgear.com/)
2021-12-29 09:54:49 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.swissgear.com/bags-cases?p=2> (referer: https://www.swissgear.com/bags-cases)
2021-12-29 09:54:50 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.swissgear.com/sale/swissgear-diaper-backpack-navy-heather> (referer: https://www.swissgear.com/sale?p=2)
2021-12-29 09:54:50 [urllib3.connectionpool] DEBUG: Starting new HTTPS connection (1): swissgear.imgix.net:443
2021-12-29 09:54:52 [urllib3.connectionpool] DEBUG: https://swissgear.imgix.net:443 "GET /s/a/sa2680c-3.jpg?w=500&auto=format,compress HTTP/1.1" 200 26064
2021-12-29 09:54:52 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.swissgear.com/accessories?p=3> (referer: https://www.swissgear.com/accessories?p=2)
2021-12-29 09:54:52 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.swissgear.com/luggage?p=2> (referer: https://www.swissgear.com/luggage)
2021-12-29 09:54:54 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.swissgear.com/bags-cases?p=3> (referer: https://www.swissgear.com/bags-cases?p=2)
2021-12-29 09:54:55 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.swissgear.com/backpacks?p=2> (referer: https://www.swissgear.com/backpacks)
2021-12-29 09:54:57 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.swissgear.com/accessories?p=4> (referer: https://www.swissgear.com/accessories?p=3)
2021-12-29 09:54:58 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.swissgear.com/bags-cases/wenger-bc-up-14-inch-laptop-briefcase-black> (referer: https://www.swissgear.com/bags-cases?p=2)
2021-12-29 09:54:58 [urllib3.connectionpool] DEBUG: Starting new HTTPS connection (1): swissgear.imgix.net:443
2021-12-29 09:54:59 [urllib3.connectionpool] DEBUG: https://swissgear.imgix.net:443 "GET /6/0/606462-02.jpg?w=500&auto=format,compress HTTP/1.1" 200 9804
2021-12-29 09:55:00 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.swissgear.com/bags-cases?p=4> (referer: https://www.swissgear.com/bags-cases?p=3)
2021-12-29 09:55:00 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.swissgear.com/luggage/swissgear-7739-26-expandable-trunk-spinner-luggage> (referer: https://www.swissgear.com/luggage?p=2)
2021-12-29 09:55:01 [urllib3.connectionpool] DEBUG: Starting new HTTPS connection (1): swissgear.imgix.net:443
2021-12-29 09:55:02 [urllib3.connectionpool] DEBUG: https://swissgear.imgix.net:443 "GET /7/7/7739525173-03.jpg?w=500&auto=format,compress HTTP/1.1" 200 20516
2021-12-29 09:55:02 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.swissgear.com/backpacks?p=3> (referer: https://www.swissgear.com/backpacks?p=2)
2021-12-29 09:55:03 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.swissgear.com/accessories?p=5> (referer: https://www.swissgear.com/accessories?p=4)
2021-12-29 09:55:04 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.swissgear.com/accessories/swissgear-inflatable-travel-comfort-pillow> (referer: https://www.swissgear.com/accessories?p=4)
2021-12-29 09:55:04 [urllib3.connectionpool] DEBUG: Starting new HTTPS connection (1): swissgear.imgix.net:443
2021-12-29 09:55:05 [urllib3.connectionpool] DEBUG: https://swissgear.imgix.net:443 "GET /s/w/swissgear-wj3700bk-inflatable-travel-comfort-pillow-black-front_2.jpg?w=500&auto=format,compress HTTP/1.1" 200 12385
2021-12-29 09:55:06 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.swissgear.com/swissgear-2697-tablet-tech-portfolio-noir-satin> (referer: https://www.swissgear.com/bags-cases?p=4)
2021-12-29 09:55:06 [urllib3.connectionpool] DEBUG: Starting new HTTPS connection (1): swissgear.imgix.net:443
2021-12-29 09:55:08 [urllib3.connectionpool] DEBUG: https://swissgear.imgix.net:443 "GET /2/6/2697302515-03.jpg?w=500&auto=format,compress HTTP/1.1" 200 6533
2021-12-29 09:55:09 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.swissgear.com/swissgear-2375-dopp-kit-heather> (referer: https://www.swissgear.com/bags-cases?p=4)
2021-12-29 09:55:09 [urllib3.connectionpool] DEBUG: Starting new HTTPS connection (1): swissgear.imgix.net:443
2021-12-29 09:55:10 [urllib3.connectionpool] DEBUG: https://swissgear.imgix.net:443 "GET /2/3/2375424512-03.jpg?w=500&auto=format,compress HTTP/1.1" 200 12322
2021-12-29 09:55:11 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.swissgear.com/backpacks/swissgear-diaper-messenger-bag-light-heather-grey> (referer: https://www.swissgear.com/backpacks?p=3)
2021-12-29 09:55:11 [urllib3.connectionpool] DEBUG: Starting new HTTPS connection (1): swissgear.imgix.net:443
2021-12-29 09:55:13 [urllib3.connectionpool] DEBUG: https://swissgear.imgix.net:443 "GET /s/a/sa2682c-3.jpg?w=500&auto=format,compress HTTP/1.1" 200 20338
2021-12-29 09:55:14 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.swissgear.com/accessories?p=6> (referer: https://www.swissgear.com/accessories?p=5)
2021-12-29 09:55:15 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.swissgear.com/accessories/swissgear-getaway-beanie-hat-os-black> (referer: https://www.swissgear.com/accessories?p=5)
2021-12-29 09:55:15 [urllib3.connectionpool] DEBUG: Starting new HTTPS connection (1): swissgear.imgix.net:443
2021-12-29 09:55:16 [urllib3.connectionpool] DEBUG: https://swissgear.imgix.net:443 "GET /2/6/2670202691-02_1.jpg?w=500&auto=format,compress HTTP/1.1" 200 10705
2021-12-29 09:55:17 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.swissgear.com/accessories/swissgear-legacy-watch-silver-with-cream-dial-dark-brown-strap> (referer: https://www.swissgear.com/accessories?p=5)
2021-12-29 09:55:17 [urllib3.connectionpool] DEBUG: Starting new HTTPS connection (1): swissgear.imgix.net:443
2021-12-29 09:55:18 [urllib3.connectionpool] DEBUG: https://swissgear.imgix.net:443 "GET /s/w/swissgear-watche-3-1.jpg?w=500&auto=format,compress HTTP/1.1" 200 26822
2021-12-29 09:55:19 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.swissgear.com/accessories/swissgear-legacy-watch-black-with-black-dial-light-brown-strap> (referer: https://www.swissgear.com/accessories?p=5)
2021-12-29 09:55:20 [urllib3.connectionpool] DEBUG: Starting new HTTPS connection (1): swissgear.imgix.net:443
2021-12-29 09:55:21 [urllib3.connectionpool] DEBUG: https://swissgear.imgix.net:443 "GET /s/w/swissgear-watche-2-1.jpg?w=500&auto=format,compress HTTP/1.1" 200 26047
2021-12-29 09:55:22 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.swissgear.com/accessories/swissgear-watch-black-with-cream-dial-light-brown-strap> (referer: https://www.swissgear.com/accessories?p=5)
2021-12-29 09:55:22 [urllib3.connectionpool] DEBUG: Starting new HTTPS connection (1): swissgear.imgix.net:443
2021-12-29 09:55:24 [urllib3.connectionpool] DEBUG: https://swissgear.imgix.net:443 "GET /s/w/swissgear-watche-4-1.jpg?w=500&auto=format,compress HTTP/1.1" 200 25080
2021-12-29 09:55:25 [scrapy.core.engine] DEBUG: Crawled (200) <GET https://www.swissgear.com/swissgear-slim-pebbled-leather-card-case-wallet-black> (referer: https://www.swissgear.com/accessories?p=6)
2021-12-29 09:55:25 [urllib3.connectionpool] DEBUG: Starting new HTTPS connection (1): swissgear.imgix.net:443
